,year,state,name,enrollment,total_revenue,federal_revenue,state_revenue,local_revenue,expenditure,current_spending_instruction,current_spending,other_spending,total_capital,score,test_subject,grade
39,1996,Florida,HILLSBOROUGH CO SCH DIST,143192.0,886483.0,82781.0,491095.0,312607.0,945319.0,421135.0,284672.0,78449.0,141137.0,215.763582637868,Mathematics,4
40,1996,Florida,HILLSBOROUGH CO SCH DIST,143192.0,886483.0,82781.0,491095.0,312607.0,945319.0,421135.0,284672.0,78449.0,141137.0,263.63939360129797,Mathematics,8
41,1996,Florida,PALM BEACH CO SCH DIST,132215.0,959165.0,58720.0,280048.0,620397.0,976324.0,450846.0,239719.0,81404.0,175387.0,215.763582637868,Mathematics,4
42,1996,Florida,PALM BEACH CO SCH DIST,132215.0,959165.0,58720.0,280048.0,620397.0,976324.0,450846.0,239719.0,81404.0,175387.0,263.63939360129797,Mathematics,8
43,1996,Hawaii,HAWAII PUBLIC SCHOOLS,187104.0,1199019.0,91391.0,1079097.0,28531.0,1231550.0,671105.0,328131.0,103048.0,129266.0,214.96556158973,Mathematics,4
44,1996,Hawaii,HAWAII PUBLIC SCHOOLS,187104.0,1199019.0,91391.0,1079097.0,28531.0,1231550.0,671105.0,328131.0,103048.0,129266.0,262.130081659249,Mathematics,8
45,1996,Illinois,CITY OF CHICAGO SCH DIST 299,412921.0,2737733.0,366656.0,1039065.0,1332012.0,2674339.0,1516574.0,873269.0,153391.0,130502.0,,Mathematics,4
46,1996,Illinois,CITY OF CHICAGO SCH DIST 299,412921.0,2737733.0,366656.0,1039065.0,1332012.0,2674339.0,1516574.0,873269.0,153391.0,130502.0,,Mathematics,8
47,1996,Louisiana,ORLEANS PARISH SCH DIST,85596.0,408981.0,62740.0,203353.0,142888.0,404631.0,232388.0,112275.0,35741.0,16019.0,209.020670031591,Mathematics,4
48,1996,Louisiana,ORLEANS PARISH SCH DIST,85596.0,408981.0,62740.0,203353.0,142888.0,404631.0,232388.0,112275.0,35741.0,16019.0,252.38039469873698,Mathematics,8
49,1996,Maryland,BALTIMORE CITY SCHOOLS,109980.0,722612.0,79756.0,421325.0,221531.0,722903.0,448755.0,225325.0,27016.0,15903.0,220.69496066923801,Mathematics,4
50,1996,Maryland,BALTIMORE CITY SCHOOLS,109980.0,722612.0,79756.0,421325.0,221531.0,722903.0,448755.0,225325.0,27016.0,15903.0,269.681431438747,Mathematics,8
51,1996,New York,NEW YORK CITY SCH DIST,1049039.0,8427851.0,929904.0,3548085.0,3949862.0,9477476.0,5598618.0,1933487.0,354753.0,854026.0,222.634058698567,Mathematics,4
52,1996,New York,NEW YORK CITY SCH DIST,1049039.0,8427851.0,929904.0,3548085.0,3949862.0,9477476.0,5598618.0,1933487.0,354753.0,854026.0,270.23148604297796,Mathematics,8
53,1996,Ohio,CLEVELAND CITY SCH DIST,74380.0,533929.0,68225.0,297695.0,168009.0,524212.0,298471.0,173086.0,32714.0,10770.0,,Mathematics,4
54,1996,Ohio,CLEVELAND CITY SCH DIST,74380.0,533929.0,68225.0,297695.0,168009.0,524212.0,298471.0,173086.0,32714.0,10770.0,,Mathematics,8
55,1996,Pennsylvania,PHILADELPHIA SCHOOL DISTRICT,210503.0,1504953.0,159471.0,757631.0,587851.0,1453391.0,716376.0,410139.0,93109.0,11876.0,226.21201467000802,Mathematics,4
56,1996,Pennsylvania,PHILADELPHIA SCHOOL DISTRICT,210503.0,1504953.0,159471.0,757631.0,587851.0,1453391.0,716376.0,410139.0,93109.0,11876.0,,Mathematics,8
57,1996,Tennessee,MEMPHIS CITY SCHS,109286.0,562167.0,63147.0,235134.0,263886.0,570157.0,319183.0,174117.0,31844.0,44262.0,219.17624797698997,Mathematics,4
58,1996,Tennessee,MEMPHIS CITY SCHS,109286.0,562167.0,63147.0,235134.0,263886.0,570157.0,319183.0,174117.0,31844.0,44262.0,263.118935026706,Mathematics,8
59,1996,Texas,DALLAS IND SCH DISTRICT 905,148839.0,857052.0,88067.0,188915.0,580070.0,948110.0,447427.0,274771.0,55291.0,144971.0,228.712919803307,Mathematics,4
60,1996,Texas,DALLAS IND SCH DISTRICT 905,148839.0,857052.0,88067.0,188915.0,580070.0,948110.0,447427.0,274771.0,55291.0,144971.0,270.1995775601,Mathematics,8
